dataset,model,topic_id,evolution_type,brief_explanation
NYT,DETM,0,Gradual semantic drift,"The topic evolves gradually, with words related to a specific domain or field emerging over time (e.g., education in 1987, politics in 1992, sports in 1997, and health in 2002). The changes are not sudden or drastic, but rather a natural progression of ideas."
NYT,DETM,1,2. Gradual semantic drift,"The topic evolves gradually, with a shift from cultural/artistic (1987) to culinary/restaurants (1997-2007), and a subtle incorporation of food/wine-related concepts in the intermediate years."
NYT,DETM,2,Gradual semantic drift,"The topic evolves gradually, with the core concept of 'case' and related legal terms emerging as a dominant theme. The language becomes more specialized and formal, reflecting increased attention to legal proceedings and justice systems."
NYT,DETM,3,Gradual semantic drift,"The topic evolves gradually from a focus on governance and policy (1987, 1992) to healthcare (1997), then shifts towards government administration and public officials (2002, 2007). The changes are not abrupt or sudden, but rather a steady drift in the semantic meaning of the topic over time."
NYT,DETM,4,Gradual semantic drift,"The topic's core theme of travel and transportation remains consistent, but there is a gradual shift towards more specific aspects such as airport operations (2002), traffic congestion (1997), and service quality (2007)"
NYT,DETM,5,Gradual semantic drift,"The topic evolves from a descriptive focus on physical settings and living things (1987) to a more abstract and conceptual realm, with topics shifting from healthcare and politics to social and aesthetic concerns over time."
NYT,DETM,6,2. Gradual semantic drift,"The topic evolves gradually, with subtle changes in the dominant words and concepts over time. While there are some changes in vocabulary and focus, the overall direction of the topic remains relatively consistent."
NYT,DETM,7,2. Gradual semantic drift,"The topic words exhibit a gradual shift from a theme focused on business and leadership (1987) to education and family life (1992, 2007), with a brief detour into cooking-related terms in 1997."
NYT,DETM,8,Gradual semantic drift,"The topic's vocabulary gradually shifts from discussing racial and social issues in the early years to focusing on education-related topics, with some overlap between years."
NYT,DETM,9,Gradual semantic drift,"The topic evolves gradually, with subtle changes in vocabulary and themes over time. The core concepts remain similar, but the language used to describe them shifts slightly."
