dataset,model,topic_id,year,intruder_word,llm_choice,correct
NYT,DETM,0,1988,police,police,1
NYT,DETM,0,1988,world,john,0
NYT,DETM,0,1988,game,game,1
NYT,DETM,0,1988,water,water,1
NYT,DETM,0,1988,commission,father,0
NYT,DETM,1,1988,world,world,1
NYT,DETM,1,1988,said,century,0
NYT,DETM,1,1988,commission,commission,1
NYT,DETM,1,1988,company,company,1
NYT,DETM,1,1988,black,black,1
NYT,DETM,2,1988,game,game,1
NYT,DETM,2,1988,york,drug,0
NYT,DETM,2,1988,world,world,1
NYT,DETM,2,1988,game,game,1
NYT,DETM,2,1988,game,game,1
NYT,DETM,3,1988,police,states,0
NYT,DETM,3,1988,game,states,0
NYT,DETM,3,1988,black,commission,0
NYT,DETM,3,1988,world,state,0
NYT,DETM,3,1988,world,world,1
NYT,DETM,4,1988,commission,runs,0
NYT,DETM,4,1988,commission,commission,1
NYT,DETM,4,1988,york,york,1
NYT,DETM,4,1988,company,company,1
NYT,DETM,4,1988,york,york,1
NYT,DETM,5,1988,said,feet,0
NYT,DETM,5,1988,said,feet,0
NYT,DETM,5,1988,museum,feet,0
NYT,DETM,5,1988,police,police,1
NYT,DETM,5,1988,commission,commission,1
NYT,DETM,6,1988,world,time,0
NYT,DETM,6,1988,black,black,1
NYT,DETM,6,1988,police,time,0
NYT,DETM,6,1988,company,time,0
NYT,DETM,6,1988,commission,time,0
NYT,DETM,7,1988,water,water,1
NYT,DETM,7,1988,black,black,1
NYT,DETM,7,1988,commission,computer,0
NYT,DETM,7,1988,police,police,1
NYT,DETM,7,1988,world,computer,0
NYT,DETM,8,1988,game,game,1
NYT,DETM,8,1988,said,percent,0
NYT,DETM,8,1988,york,california,0
NYT,DETM,8,1988,police,jackson,0
NYT,DETM,8,1988,museum,percent,0
NYT,DETM,9,1988,police,self,0
NYT,DETM,9,1988,game,self,0
NYT,DETM,9,1988,company,company,1
NYT,DETM,9,1988,black,self,0
NYT,DETM,9,1988,police,self,0
